date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2004-01-01,6.6499999999999995,1.6,11.7,0.0,,,
2004-01-02,5.9,2.3,9.5,0.0,,,
2004-01-03,7.800000000000001,4.8,10.8,0.0,,,
2004-01-04,8.1,2.6,13.6,0.0,,,
2004-01-05,6.4,2.3,10.5,0.0,,,
2004-01-06,5.699999999999999,1.2,10.2,0.0,,,
2004-01-07,5.15,1.5,8.8,0.0,,,
2004-01-08,6.9,3.4,10.4,0.0,,,
2004-01-09,11.8,9.2,14.4,0.0,,,
2004-01-10,12.2,8.4,16.0,0.0,,,
2004-01-11,7.5,5.5,9.5,0.0,,,
2004-01-12,7.85,6.5,9.2,0.0,,,
2004-01-13,7.95,6.5,9.4,0.0,,,
2004-01-14,9.4,6.4,12.4,0.0,,,
2004-01-15,6.95,3.9,10.0,0.0,,,
2004-01-16,7.15,2.3,12.0,0.0,,,
2004-01-17,7.6,4.6,10.6,0.0,,,
2004-01-18,7.050000000000001,3.7,10.4,0.0,,,
2004-01-19,5.65,1.0,10.3,0.0,,,
2004-01-20,5.05,-0.3,10.4,0.0,,,
2004-01-21,5.800000000000001,-0.2,11.8,0.0,,,
2004-01-22,6.6499999999999995,1.7,11.6,0.0,,,
2004-01-23,8.45,2.4,14.5,0.0,,,
2004-01-24,11.899999999999999,7.1,16.7,0.0,,,
2004-01-25,8.25,4.5,12.0,0.0,,,
2004-01-26,10.1,8.2,12.0,0.0,,,
2004-01-27,12.2,9.9,14.5,0.0,,,
2004-01-28,6.6,2.7,10.5,0.0,,,
2004-01-29,4.0,-0.6,8.6,0.0,,,
2004-01-30,5.050000000000001,2.7,7.4,0.9,,,
2004-01-31,6.9,4.4,9.4,5.0,,,
2004-02-01,9.35,7.7,11.0,0.0,,,
2004-02-02,11.95,9.0,14.9,0.0,,,
2004-02-03,12.05,7.0,17.1,0.0,,,
2004-02-04,12.7,7.2,18.2,0.0,,,
2004-02-05,13.65,8.5,18.8,0.0,,,
2004-02-06,12.9,7.0,18.8,0.0,,,
2004-02-07,11.100000000000001,6.1,16.1,0.0,,,
2004-02-08,10.45,6.7,14.2,0.0,,,
2004-02-09,7.85,5.1,10.6,0.0,,,
2004-02-10,9.4,3.6,15.2,0.0,,,
2004-02-11,10.399999999999999,4.6,16.2,0.0,,,
2004-02-12,9.45,2.5,16.4,0.0,,,
2004-02-13,10.25,5.0,15.5,0.0,,,
2004-02-14,9.7,4.4,15.0,0.0,,,
2004-02-15,9.45,3.7,15.2,0.0,,,
2004-02-16,7.05,3.6,10.5,0.0,,,
2004-02-17,6.25,1.3,11.2,0.0,,,
2004-02-18,6.65,2.2,11.1,0.0,,,
2004-02-19,5.45,0.5,10.4,0.0,,,
2004-02-20,3.1999999999999997,1.8,4.6,7.7,,,
2004-02-21,6.199999999999999,2.7,9.7,14.9,,,
2004-02-22,4.65,0.5,8.8,5.4,,,
2004-02-23,4.7,1.6,7.8,5.6,,,
2004-02-24,3.9,2.0,5.8,11.7,,,
2004-02-25,7.7,5.0,10.4,18.4,,,
2004-02-26,5.0,2.0,8.0,0.2,,,
2004-02-27,3.1,0.2,6.0,0.1,,,
2004-02-28,4.0,-0.5,8.5,0.0,,,
2004-02-29,5.6,2.2,9.0,0.0,,,
2004-03-01,2.6,-1.0,6.2,0.0,,,
2004-03-02,3.3,-2.6,9.2,0.0,,,
2004-03-03,5.8500000000000005,-0.6,12.3,0.0,,,
2004-03-04,8.1,2.0,14.2,0.0,,,
2004-03-05,9.8,5.0,14.6,0.0,,,
2004-03-06,11.7,7.2,16.2,0.0,,,
2004-03-07,10.05,3.8,16.3,0.0,,,
2004-03-08,10.399999999999999,4.6,16.2,0.0,,,
2004-03-09,11.05,7.0,15.1,0.1,,,
2004-03-10,13.0,9.6,16.4,0.0,,,
2004-03-11,10.3,7.0,13.6,0.2,,,
2004-03-12,9.55,6.7,12.4,18.2,,,
2004-03-13,8.45,6.1,10.8,0.1,,,
2004-03-14,10.45,5.5,15.4,0.0,,,
2004-03-15,14.049999999999999,8.2,19.9,0.0,,,
2004-03-16,12.85,9.5,16.2,0.0,,,
2004-03-17,12.0,9.2,14.8,0.0,,,
2004-03-18,12.4,7.2,17.6,0.0,,,
2004-03-19,14.05,8.6,19.5,0.0,,,
2004-03-20,14.8,8.9,20.7,0.0,,,
2004-03-21,16.1,9.2,23.0,0.0,,,
2004-03-22,10.85,6.5,15.2,0.0,,,
2004-03-23,8.75,3.7,13.8,1.6,,,
2004-03-24,7.1499999999999995,5.1,9.2,0.4,,,
2004-03-25,6.9,1.8,12.0,0.0,,,
2004-03-26,5.2,1.6,8.8,1.9,,,
